Cartera,IMPORTE,Des_Estado,Nombre
CA06,6129,Cerrada,ACC PARA CAÑERIAS
CA99,6191,Cerrada,ACC PARA CAÑERIAS
CA06,6194,Cerrada,VA1/VAP/VHP
CA06,6253,Cerrada,VALV DE RETENCION
CA03,6290,Cerrada,VALV ESFERICAS  RVTA.
CA04,6338,Cerrada,VF2
CA06,6374,Cerrada,CONECTORES
CA05,6406,Cerrada,CONECTORES
CA04,6410,Cerrada,ACC. ALTA PRESION
CA05,6457,Cerrada,VM
CA06,6472,Cerrada,TUBING
CA06,6475,Cerrada,CONECTORES
CA06,6477,Cerrada,ACC PARA CAÑERIAS
CA06,6509,Cerrada,ACC PARA CAÑERIAS
CA04,6518,Cerrada,VALV DE ALIVIO
CA05,6542,Cerrada,TUBING
CA04,6551,Cerrada,CONECTORES
CA99,6551,Cerrada,ACC PARA CAÑERIAS
CA05,6635,Cerrada,VA1/VAP/VHP
CA06,6691,Cerrada,ACC PARA CAÑERIAS
CA06,6759,Cerrada,CONECTORES
CA03,6826,Cerrada,LIMITADOR
CA05,6862,Cerrada,ACC PARA CAÑERIAS
CA04,6908,Cerrada,PRODUCTOS MAXIMATOR
CA04,6934,Cerrada,REPUESTOS
CA05,6980,Cerrada,VALV DE RETENCION
CA04,6981,Cerrada,ACCESORIOS VARIOS
CA06,7002,Cerrada,TUBING
CA03,7041,Cerrada,ACC. ALTA PRESION
CA06,7143,Cerrada,REPUESTOS
CA04,7151,Cerrada,MANIF 2 VIAS
CA04,7328,Cerrada,ACC PARA CAÑERIAS
CA04,7328,Cerrada,VALV DE ALIVIO
CA05,7355,Cerrada,ACC PARA CAÑERIAS
CA05,7355,Cerrada,CONECTORES
CA05,7374,Cerrada,ESF. ABAC 2 VIAS
CA03,7413,Cerrada,ACC PARA CAÑERIAS
CA05,7414,Cerrada,ACC PARA CAÑERIAS
CA03,7468,Cerrada,REPUESTOS
CA04,7476,Cerrada,VA2
CA06,7496,Cerrada,ACC. ALTA PRESION
CA99,7566,Cerrada,VALV DE ALIVIO
CA03,7571,Cerrada,CONECTORES
CA04,7598,Cerrada,VA2
CA04,7613,Cerrada,VALV DE RETENCION
CA04,7619,Cerrada,VA1/VAP/VHP
CA06,7632,Cerrada,ACC PARA CAÑERIAS
CA06,7632,Cerrada,VALV ESFERICAS  RVTA.
CA06,7635,Cerrada,REPUESTOS
CA04,7636,Cerrada,VALV DE RETENCION
CA06,7666,Cerrada,CONECTORES
CA04,7734,Cerrada,CONECTORES
CA04,7734,Cerrada,VALV DE RETENCION
CA03,7742,Cerrada,CONECTORES
CA06,7795,Cerrada,VA1/VAP/VHP
CA06,7801,Cerrada,TUBING
CA05,7871,Cerrada,CONECTORES
CA99,7928,Cerrada,SOPORTES PARA CAÑERIAS
CA05,7933,Cerrada,ACC PARA CAÑERIAS
CA05,7943,Cerrada,CONECTORES
CA05,7943,Cerrada,VALV INTEGRAL
CA05,7947,Cerrada,VA1/VAP/VHP
CA05,7947,Cerrada,VALV INTEGRAL
CA06,7977,Cerrada,VALV ESFERICAS  RVTA.
CA04,8008,Cerrada,CONECTORES
CA04,8017,Cerrada,VALV DE ALIVIO
CA06,8044,Cerrada,VA1/VAP/VHP
CA03,8068,Cerrada,ACC PARA CAÑERIAS
CA06,8096,Cerrada,VA2
CA06,8096,Cerrada,VF2
CA04,8096,Cerrada,ACC PARA CAÑERIAS
CA06,8115,Cerrada,VALV INTEGRAL
CA04,8145,Cerrada,CONECTORES
CA04,8145,Cerrada,VF2
